Time Step,SOH Normal (%),SOH Fuzzy (%),SOH Deep Fuzzy (%)
43,99.83630813743811,99.88676742835798,99.87383800320042
44,99.83359759779441,99.88529131456168,99.87236188940412
45,99.83039393362397,99.88337907623864,99.87044965108107
46,99.82737510573953,99.88170167420161,99.86877224904404
47,99.82123150221723,99.87703849652671,99.86410907136914
48,99.81695268506324,99.87432110522012,99.86139168006255
49,99.80992102476111,99.86900987076538,99.85608044560782
50,99.80446941050835,99.86538668236003,99.85245725720246
51,99.80153544735643,99.8643131450555,99.85138371989794
52,99.79863858028475,99.86330670383123,99.85037727867366
53,99.79612873570031,99.8627052142942,99.84977578913663
54,99.79354705059234,99.86249158124933,99.84957110623796
55,99.78637119146585,99.86080970301357,99.84795037397112
56,99.77356050346899,99.85737444080273,99.84458019197952
57,99.76225467505444,99.85331770771063,99.84042784275468
58,99.76034026681684,99.84882833378877,99.83546844500202
59,99.75842585857924,99.8443339936605,99.82974262542842
60,99.75651145034165,99.84089410008865,99.82974262542842
61,99.75459704210405,99.83819244335254,99.82974262542842
62,99.75268263386646,99.83595305150068,99.82974262542842
63,99.75076822562886,99.83420519931859,99.82974262542842
64,99.74885381739126,99.83302896171982,99.82974262542842
65,99.74693940915367,99.83229033696827,99.82974262542842
66,99.74411076647738,99.83140256522958,99.82974262542842
67,99.73799989864595,99.82735326973575,99.82974262542842
68,99.7281287852384,99.8198187286658,99.82974262542842
69,99.72323565788022,99.81733617364522,99.82974262542842
70,99.71574652354674,99.81240461164933,99.82974262542842
71,99.71135790504658,99.81062656548677,99.82974262542842
72,99.70289393597031,99.80495116874809,99.82974262542842
73,99.68995651594753,99.79519332106291,99.82974262542842
74,99.68197476593502,99.79053014338801,99.82974262542842
75,99.67782704061388,99.78972499040447,99.82974262542842
76,99.67386260354377,99.78912112567195,99.82974262542842
77,99.66999692503457,99.78863063990035,99.82974262542842
78,99.66650438472205,99.78851668897443,99.82974262542842
79,99.661359069141,99.78793444065823,99.82974262542842
80,99.65032253332848,99.78540771692478,99.82974262542842
81,99.63495915848817,99.78144344984028,99.82974262542842
82,99.61595432697194,99.77629509338337,99.82974262542842
83,99.60583778979522,99.77090245870885,99.82974262542842
84,99.60245920040862,99.76671821156017,99.82974262542842
85,99.59908061102202,99.7614135411714,99.82974262542842
86,99.59570202163542,99.75727560459802,99.82974262542842
87,99.59231421451962,99.75615891849475,99.82974262542842
88,99.58892640740382,99.75527683505862,99.82974262542842
89,99.58553860028802,99.75488538339036,99.82974262542842
90,99.58125029849114,99.75401095370928,99.82974262542842
91,99.57625602279798,99.75247629523192,99.82974262542842
92,99.56975617798959,99.74952406763933,99.82974262542842
93,99.56337562143223,99.74677312829776,99.82974262542842
94,99.55777676589338,99.74486088997472,99.82974262542842
95,99.54861991422284,99.73954965551998,99.82974262542842
96,99.53935025459963,99.73428261311257,99.82974262542842
97,99.531720093104,99.73076006883274,99.82974262542842
98,99.52595416993141,99.72914976287595,99.82974262542842
99,99.5211766879831,99.72854589814344,99.82974262542842
100,99.5163812060348,99.72794203341093,99.82974262542842
101,99.51127938267784,99.72705817336977,99.82974262542842
102,99.50633687784558,99.72635460385331,99.82974262542842
103,99.50177500179713,99.72604101070516,99.82974262542842
104,99.49643602509708,99.72568284344575,99.82974262542842
105,99.49056165116068,99.72514831503844,99.82974262542842
106,99.48468493405811,99.72461533752147,99.82974262542842
107,99.47709733957592,99.72351814984,99.82974262542842
108,99.46831442514929,99.72202985446255,99.82974262542842
109,99.4615657736245,99.71961628427736,99.82974262542842
110,99.45251691252564,99.71806104538756,99.82974262542842
111,99.44541675005891,99.71715210720768,99.82974262542842
112,99.4375452977496,99.71599295950857,99.82974262542842
113,99.43138475071893,99.71539803580859,99.82974262542842
114,99.42601825560803,99.71439870676538,99.82974262542842
115,99.41892598845061,99.71175248427566,99.82974262542842
116,99.41278708978085,99.71010863027361,99.82974262542842
117,99.40694467152262,99.70880025668308,99.82974262542842
118,99.40089051305863,99.70732414288678,99.82974262542842
119,99.39410139378187,99.70517706827772,99.82974262542842
120,99.38769739903186,99.70346611819542,99.82974262542842
121,99.37348066621601,99.69430243004727,99.82974262542842
